Year,Males,Females
1992,74.5,80.4
1993,75,80.9
1994,75,80.9
1993-1995,75,80.8
1994-1996,75.2,81.1
1995-1997,75.6,81.3
1996-1998,75.9,81.5
1997-1999,76.2,81.8
1998-2000,76.6,82
1999-2001,77,82.4
2000-2002,77.4,82.6
2001-2003,77.8,82.8
2002-2004,78.1,83
2003-2005,78.5,83.3
2004-2006,78.7,83.5
2005-2007,79,83.7
2006-2008,79.2,83.7
2007-2009,79.3,83.9
2008-2010,79.5,84
2009-2011,79.7,84.2
2010-2012,79.9,84.3
2011-2013,80.1,84.3
2012-2014,80.3,84.4
2013-2015,80.4,84.5
2014-2016,80.4,84.6
2015-2017,80.5,84.6
2016-2018,80.7,84.9
2017-2019,80.9,85
2018-2020,81.2,85.3
2019-2021,81.3,85.4
2020-2022,81.2,85.3
